"---","SkeletalMesh","LoopingAnimation","AlertAnimation","RunAnimation","MeshRelativeLocation","MeshRelativeRotation","MeshRelativeScale","bLoopAnimation","bAutoGroundToActorOrigin"
"Hero_6_Chad","/Game/Characters/Heroes/Hero_8/Chad/SK_Hero_8_Chad.SK_Hero_8_Chad","/Game/Characters/Heroes/Hero_8/Chad/AM_Hero_8_Chad_RigIdleV2.AM_Hero_8_Chad_RigIdleV2","/Game/Characters/Heroes/Hero_8/Chad/AM_Hero_8_Chad_RigIdleV2.AM_Hero_8_Chad_RigIdleV2","/Game/Characters/Heroes/Hero_8/Chad/AM_Hero_8_Chad_RigIdleV2.AM_Hero_8_Chad_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_6_Chad_Beachgoer","/Game/Characters/Heroes/Hero_8/Chad/Beachgoer/SK_Hero_8_Chad_Beachgoer.SK_Hero_8_Chad_Beachgoer","/Game/Characters/Heroes/Hero_8/Chad/Beachgoer/AM_Hero_8_Chad_Beachgoer_RigIdleV2.AM_Hero_8_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_8/Chad/Beachgoer/AM_Hero_8_Chad_Beachgoer_RigIdleV2.AM_Hero_8_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_8/Chad/Beachgoer/AM_Hero_8_Chad_Beachgoer_RigIdleV2.AM_Hero_8_Chad_Beachgoer_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_7_Chad","/Game/Characters/Heroes/Hero_9/Chad/SK_Hero_9_Chad.SK_Hero_9_Chad","/Game/Characters/Heroes/Hero_9/Chad/AM_Hero_9_Chad_RigIdleV2.AM_Hero_9_Chad_RigIdleV2","/Game/Characters/Heroes/Hero_9/Chad/AM_Hero_9_Chad_RigIdleV2.AM_Hero_9_Chad_RigIdleV2","/Game/Characters/Heroes/Hero_9/Chad/AM_Hero_9_Chad_RigIdleV2.AM_Hero_9_Chad_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_7_Chad_Beachgoer","/Game/Characters/Heroes/Hero_9/Chad/Beachgoer/SK_Hero_9_Chad_Beachgoer.SK_Hero_9_Chad_Beachgoer","/Game/Characters/Heroes/Hero_9/Chad/Beachgoer/AM_Hero_9_Chad_Beachgoer_RigIdleV2.AM_Hero_9_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_9/Chad/Beachgoer/AM_Hero_9_Chad_Beachgoer_RigIdleV2.AM_Hero_9_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_9/Chad/Beachgoer/AM_Hero_9_Chad_Beachgoer_RigIdleV2.AM_Hero_9_Chad_Beachgoer_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_8_Chad","/Game/Characters/Heroes/Hero_11/Chad/SK_Hero_11_Chad.SK_Hero_11_Chad","/Game/Characters/Heroes/Hero_11/Chad/AM_Hero_11_Chad_RigIdleV2.AM_Hero_11_Chad_RigIdleV2","/Game/Characters/Heroes/Hero_11/Chad/AM_Hero_11_Chad_RigIdleV2.AM_Hero_11_Chad_RigIdleV2","/Game/Characters/Heroes/Hero_11/Chad/AM_Hero_11_Chad_RigIdleV2.AM_Hero_11_Chad_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_8_Chad_Beachgoer","/Game/Characters/Heroes/Hero_11/Chad/Beachgoer/SK_Hero_11_Chad_Beachgoer.SK_Hero_11_Chad_Beachgoer","/Game/Characters/Heroes/Hero_11/Chad/Beachgoer/AM_Hero_11_Chad_Beachgoer_RigIdleV2.AM_Hero_11_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_11/Chad/Beachgoer/AM_Hero_11_Chad_Beachgoer_RigIdleV2.AM_Hero_11_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_11/Chad/Beachgoer/AM_Hero_11_Chad_Beachgoer_RigIdleV2.AM_Hero_11_Chad_Beachgoer_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_9_Chad","/Game/Characters/Heroes/Hero_12/Chad/SK_Hero_12_Chad.SK_Hero_12_Chad","/Game/Characters/Heroes/Hero_12/Chad/AM_Hero_12_Chad_RigIdleV2.AM_Hero_12_Chad_RigIdleV2","/Game/Characters/Heroes/Hero_12/Chad/AM_Hero_12_Chad_RigIdleV2.AM_Hero_12_Chad_RigIdleV2","/Game/Characters/Heroes/Hero_12/Chad/AM_Hero_12_Chad_RigIdleV2.AM_Hero_12_Chad_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_9_Chad_Beachgoer","/Game/Characters/Heroes/Hero_12/Chad/Beachgoer/SK_Hero_12_Chad_Beachgoer.SK_Hero_12_Chad_Beachgoer","/Game/Characters/Heroes/Hero_12/Chad/Beachgoer/AM_Hero_12_Chad_Beachgoer_RigIdleV2.AM_Hero_12_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_12/Chad/Beachgoer/AM_Hero_12_Chad_Beachgoer_RigIdleV2.AM_Hero_12_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_12/Chad/Beachgoer/AM_Hero_12_Chad_Beachgoer_RigIdleV2.AM_Hero_12_Chad_Beachgoer_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_10_Chad","/Game/Characters/Heroes/Hero_13/Chad/SK_Hero_13_Chad.SK_Hero_13_Chad","/Game/Characters/Heroes/Hero_13/Chad/AM_Hero_13_Chad_RigIdleV2.AM_Hero_13_Chad_RigIdleV2","/Game/Characters/Heroes/Hero_13/Chad/AM_Hero_13_Chad_RigIdleV2.AM_Hero_13_Chad_RigIdleV2","/Game/Characters/Heroes/Hero_13/Chad/AM_Hero_13_Chad_RigIdleV2.AM_Hero_13_Chad_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_10_Chad_Beachgoer","/Game/Characters/Heroes/Hero_13/Chad/Beachgoer/SK_Hero_13_Chad_Beachgoer.SK_Hero_13_Chad_Beachgoer","/Game/Characters/Heroes/Hero_13/Chad/Beachgoer/AM_Hero_13_Chad_Beachgoer_RigIdleV2.AM_Hero_13_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_13/Chad/Beachgoer/AM_Hero_13_Chad_Beachgoer_RigIdleV2.AM_Hero_13_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_13/Chad/Beachgoer/AM_Hero_13_Chad_Beachgoer_RigIdleV2.AM_Hero_13_Chad_Beachgoer_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_11_Chad","/Game/Characters/Heroes/Hero_14/Chad/SK_Hero_14_Chad.SK_Hero_14_Chad","/Game/Characters/Heroes/Hero_14/Chad/AM_Hero_14_Chad_RigIdleV2.AM_Hero_14_Chad_RigIdleV2","/Game/Characters/Heroes/Hero_14/Chad/AM_Hero_14_Chad_RigIdleV2.AM_Hero_14_Chad_RigIdleV2","/Game/Characters/Heroes/Hero_14/Chad/AM_Hero_14_Chad_RigIdleV2.AM_Hero_14_Chad_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_11_Chad_Beachgoer","/Game/Characters/Heroes/Hero_14/Chad/Beachgoer/SK_Hero_14_Chad_Beachgoer.SK_Hero_14_Chad_Beachgoer","/Game/Characters/Heroes/Hero_14/Chad/Beachgoer/AM_Hero_14_Chad_Beachgoer_RigIdleV2.AM_Hero_14_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_14/Chad/Beachgoer/AM_Hero_14_Chad_Beachgoer_RigIdleV2.AM_Hero_14_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_14/Chad/Beachgoer/AM_Hero_14_Chad_Beachgoer_RigIdleV2.AM_Hero_14_Chad_Beachgoer_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_12_Chad","/Game/Characters/Heroes/Hero_15/Chad/SK_Hero_15_Chad.SK_Hero_15_Chad","/Game/Characters/Heroes/Hero_15/Chad/AM_Hero_15_Chad_RigIdleV2.AM_Hero_15_Chad_RigIdleV2","/Game/Characters/Heroes/Hero_15/Chad/AM_Hero_15_Chad_RigIdleV2.AM_Hero_15_Chad_RigIdleV2","/Game/Characters/Heroes/Hero_15/Chad/AM_Hero_15_Chad_RigIdleV2.AM_Hero_15_Chad_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Hero_12_Chad_Beachgoer","/Game/Characters/Heroes/Hero_15/Chad/Beachgoer/SK_Hero_15_Chad_Beachgoer.SK_Hero_15_Chad_Beachgoer","/Game/Characters/Heroes/Hero_15/Chad/Beachgoer/AM_Hero_15_Chad_Beachgoer_RigIdleV2.AM_Hero_15_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_15/Chad/Beachgoer/AM_Hero_15_Chad_Beachgoer_RigIdleV2.AM_Hero_15_Chad_Beachgoer_RigIdleV2","/Game/Characters/Heroes/Hero_15/Chad/Beachgoer/AM_Hero_15_Chad_Beachgoer_RigIdleV2.AM_Hero_15_Chad_Beachgoer_RigIdleV2","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Roost","/Game/Characters/Enemies/Roost/SK_Roost.SK_Roost","/Game/Characters/Enemies/Roost/AM_Roost_Walk.AM_Roost_Walk","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=2,Y=2,Z=2)","true","true"
"Cow","/Game/Characters/Enemies/Cow/SK_Cow.SK_Cow","/Game/Characters/Enemies/Cow/AM_Cow_Walk.AM_Cow_Walk","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=2,Y=2,Z=2)","true","true"
"Goat","/Game/Characters/Enemies/Goat/SK_Goat.SK_Goat","/Game/Characters/Enemies/Goat/AM_Goat_Walk.AM_Goat_Walk","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=2,Y=2,Z=2)","true","true"
"Pig","/Game/Characters/Enemies/Pig/SK_Pig.SK_Pig","/Game/Characters/Enemies/Pig/AM_Pig_Walk.AM_Pig_Walk","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=2,Y=2,Z=2)","true","true"
"Boss","/Game/Characters/Enemies/Boss/SK_Boss.SK_Boss","","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=90,Roll=0)","(X=4,Y=4,Z=4)","true","true"
"GoblinThief_Black","/Game/Characters/Enemies/GoblinThief/Black/BlackGoblinRun.BlackGoblinRun","/Game/Characters/Enemies/GoblinThief/Black/BlackGoblinRun_Anim.BlackGoblinRun_Anim","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"GoblinThief_Red","/Game/Characters/Enemies/GoblinThief/Red/RedGoblinRun.RedGoblinRun","/Game/Characters/Enemies/GoblinThief/Red/RedGoblinRun_Anim.RedGoblinRun_Anim","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"GoblinThief_Yellow","/Game/Characters/Enemies/GoblinThief/Yellow/YellowGoblinRun.YellowGoblinRun","/Game/Characters/Enemies/GoblinThief/Yellow/YellowGoblinRun_Anim.YellowGoblinRun_Anim","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"GoblinThief_White","/Game/Characters/Enemies/GoblinThief/White/WhiteGoblinRun.WhiteGoblinRun","/Game/Characters/Enemies/GoblinThief/White/WhiteGoblinRun_Anim.WhiteGoblinRun_Anim","","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Companion_01","/Game/Characters/Companions/Companion_01/Default/Idle/CompanionIdle.CompanionIdle","/Game/Characters/Companions/Companion_01/Default/Walk/CompanionWalk_Anim.CompanionWalk_Anim","/Game/Characters/Companions/Companion_01/Default/Idle/CompanionIdle_Anim.CompanionIdle_Anim","/Game/Characters/Companions/Companion_01/Default/Walk/CompanionWalk_Anim.CompanionWalk_Anim","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Companion_01_Beachgoer","/Game/Characters/Companions/Companion_01/Beach/SK_Companion_01_Beach.SK_Companion_01_Beach","/Game/Characters/Companions/Companion_01/Beach/AM_Companion_01_Beach_Walking_Anim.AM_Companion_01_Beach_Walking_Anim","/Game/Characters/Companions/Companion_01/Beach/AM_Companion_01_Beach_Alert_Anim.AM_Companion_01_Beach_Alert_Anim","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Companion_02","/Game/Characters/Companions/Companion_02/Default/SK_Companion_02_Default.SK_Companion_02_Default","/Game/Characters/Companions/Companion_02/Default/AM_Companion_02_Default_Walking_Anim.AM_Companion_02_Default_Walking_Anim","/Game/Characters/Companions/Companion_02/Default/AM_Companion_02_Default_Alert_Anim.AM_Companion_02_Default_Alert_Anim","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Companion_02_Beachgoer","/Game/Characters/Companions/Companion_02/Beach/SK_Companion_02_Beach.SK_Companion_02_Beach","/Game/Characters/Companions/Companion_02/Beach/AM_Companion_02_Beach_Walking_Anim.AM_Companion_02_Beach_Walking_Anim","/Game/Characters/Companions/Companion_02/Beach/AM_Companion_02_Beach_Alert_Anim.AM_Companion_02_Beach_Alert_Anim","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Companion_03","/Game/Characters/Companions/Companion_03/Default/SK_Companion_03_Default.SK_Companion_03_Default","/Game/Characters/Companions/Companion_03/Default/AM_Companion_03_Default_Walking_Anim.AM_Companion_03_Default_Walking_Anim","/Game/Characters/Companions/Companion_03/Default/AM_Companion_03_Default_Alert_Anim.AM_Companion_03_Default_Alert_Anim","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Companion_03_Beachgoer","/Game/Characters/Companions/Companion_03/Beach/SK_Companion_03_Beach.SK_Companion_03_Beach","/Game/Characters/Companions/Companion_03/Beach/AM_Companion_03_Beach_Walking_Anim.AM_Companion_03_Beach_Walking_Anim","/Game/Characters/Companions/Companion_03/Beach/AM_Companion_03_Beach_Alert_Anim.AM_Companion_03_Beach_Alert_Anim","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Companion_04","/Game/Characters/Companions/Companion_04/Default/SK_Companion_04_Default.SK_Companion_04_Default","/Game/Characters/Companions/Companion_04/Default/AM_Companion_04_Default_Walking_Anim.AM_Companion_04_Default_Walking_Anim","/Game/Characters/Companions/Companion_04/Default/AM_Companion_04_Default_Alert_Anim.AM_Companion_04_Default_Alert_Anim","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Companion_04_Beachgoer","/Game/Characters/Companions/Companion_04/Beach/SK_Companion_04_Beach.SK_Companion_04_Beach","/Game/Characters/Companions/Companion_04/Beach/AM_Companion_04_Beach_Walking_Anim.AM_Companion_04_Beach_Walking_Anim","/Game/Characters/Companions/Companion_04/Beach/AM_Companion_04_Beach_Alert_Anim.AM_Companion_04_Beach_Alert_Anim","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Companion_05","/Game/Characters/Companions/Companion_05/Default/SK_Companion_05_Default.SK_Companion_05_Default","/Game/Characters/Companions/Companion_05/Default/AM_Companion_05_Default_Walking_Anim.AM_Companion_05_Default_Walking_Anim","/Game/Characters/Companions/Companion_05/Default/AM_Companion_05_Default_Alert_Anim.AM_Companion_05_Default_Alert_Anim","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Companion_05_Beachgoer","/Game/Characters/Companions/Companion_05/Beach/SK_Companion_05_Beach.SK_Companion_05_Beach","/Game/Characters/Companions/Companion_05/Beach/AM_Companion_05_Beach_Walking_Anim.AM_Companion_05_Beach_Walking_Anim","/Game/Characters/Companions/Companion_05/Beach/AM_Companion_05_Beach_Alert_Anim.AM_Companion_05_Beach_Alert_Anim","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Companion_06","/Game/Characters/Companions/Companion_06/Default/SK_Companion_06_Default.SK_Companion_06_Default","/Game/Characters/Companions/Companion_06/Default/AM_Companion_06_Default_Walking_Anim.AM_Companion_06_Default_Walking_Anim","/Game/Characters/Companions/Companion_06/Default/AM_Companion_06_Default_Alert_Anim.AM_Companion_06_Default_Alert_Anim","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Companion_06_Beachgoer","/Game/Characters/Companions/Companion_06/Beach/SK_Companion_06_Beach.SK_Companion_06_Beach","/Game/Characters/Companions/Companion_06/Beach/AM_Companion_06_Beach_Walking_Anim.AM_Companion_06_Beach_Walking_Anim","/Game/Characters/Companions/Companion_06/Beach/AM_Companion_06_Beach_Alert_Anim.AM_Companion_06_Beach_Alert_Anim","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Companion_07","/Game/Characters/Companions/Companion_07/Default/SK_Companion_07_Default.SK_Companion_07_Default","/Game/Characters/Companions/Companion_07/Default/AM_Companion_07_Default_Walking_Anim.AM_Companion_07_Default_Walking_Anim","/Game/Characters/Companions/Companion_07/Default/AM_Companion_07_Default_Alert_Anim.AM_Companion_07_Default_Alert_Anim","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Companion_07_Beachgoer","/Game/Characters/Companions/Companion_07/Beach/SK_Companion_07_Beach.SK_Companion_07_Beach","/Game/Characters/Companions/Companion_07/Beach/AM_Companion_07_Beach_Walking_Anim.AM_Companion_07_Beach_Walking_Anim","/Game/Characters/Companions/Companion_07/Beach/AM_Companion_07_Beach_Alert_Anim.AM_Companion_07_Beach_Alert_Anim","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
"Companion_08","/Game/Characters/Companions/Companion_08/Default/SK_Companion_08_Default.SK_Companion_08_Default","/Game/Characters/Companions/Companion_08/Default/AM_Companion_08_Default_Walking_Anim.AM_Companion_08_Default_Walking_Anim","/Game/Characters/Companions/Companion_08/Default/AM_Companion_08_Default_Alert_Anim.AM_Companion_08_Default_Alert_Anim","","(X=0,Y=0,Z=0)","(Pitch=0,Yaw=-90,Roll=0)","(X=1,Y=1,Z=1)","true","true"
